,hiddenLayerOne,learnRate,hiddenLayerTwo,hiddenLayerThree,hiddenLayerFour,hiddenLayerFive,hiddenLayerSix,hiddenLayerSeven,hiddenLayerEight,dropout,epochs,batchs,regul,accuracy,AUC,recall,precision,F1,meanRec,meanAcc,meanPrec,meanAUC,meanF1
71,3,0.007,5,4,5,4,5,4,3,0.1,20,32,0.0,[0.78888893 0.83333337 0.62222224 0.76666671 0.77528089],[0.85918218 0.8910985  0.5        0.79211229 0.84158748],[0.72222221 0.91666669 0.         0.77272731 0.68181819],[0.48148149 0.62857145 0.         0.5151515  0.53571433],[0.57777778 0.74576271 0.         0.61818182 0.6       ],0.6186868786811829,0.7572784304618836,0.4321837544441223,0.7767960906028748,0.5083444615648005
0,2,0.007,5,4,5,4,5,4,2,0.0,10,16,0.0,[0.82222223 0.82222223 0.62222224 0.75555557 0.75280899],[0.90162039 0.87878788 0.5        0.5        0.82462686],[0.83333331 1.         0.         0.         0.86363637],[0.53571433 0.60000002 0.         0.         0.5       ],[0.65217391 0.75       0.         0.         0.63333333],0.539393937587738,0.7550062537193298,0.32714287042617796,0.7210070252418518,0.4071014492753623
17,2,0.007,5,5,5,5,5,5,2,0.0,10,32,0.0,[0.76666671 0.78888893 0.62222224 0.78888893 0.7977528 ],[0.83179009 0.87405306 0.5        0.8602941  0.89213032],[0.6111111  0.91666669 0.         1.         1.        ],[0.44       0.56410259 0.         0.53658539 0.55000001],[0.51162791 0.6984127  0.         0.6984127  0.70967742],0.7055555582046509,0.7528839230537414,0.4181375980377197,0.7916535139083862,0.5236261446313959
33,2,0.007,4,4,4,4,4,4,2,0.0,10,32,0.0,[0.81111115 0.73333335 0.62222224 0.82222223 0.77528089],[0.87962967 0.5        0.5        0.8820188  0.86397552],[0.77777779 0.         0.         0.90909094 1.        ],[0.51851851 0.         0.         0.58823532 0.52380955],[0.62222222 0.         0.         0.71428571 0.6875    ],0.5373737454414368,0.7528339743614196,0.32611267566680907,0.7251248002052307,0.40480158730158733
53,2,0.007,4,5,4,5,4,5,2,0.1,10,32,0.0,[0.80000001 0.81111115 0.77777779 0.62222224 0.75280899],[0.87962961 0.88446975 0.81932771 0.73796791 0.5       ],[0.8888889  0.875      0.88235295 0.86363637 0.        ],[0.5        0.60000002 0.65217394 0.38       0.        ],[0.64       0.71186441 0.75       0.52777778 0.        ],0.7019756436347961,0.7527840375900269,0.4264347910881042,0.7642789959907532,0.5259284369114877
113,3,0.007,4,5,4,5,4,5,3,0.0,10,32,0.0,[0.84444445 0.80000001 0.62222224 0.75555557 0.73033708],[0.86381173 0.85858583 0.5        0.5        0.81478971],[0.77777779 0.91666669 0.         0.         0.9545455 ],[0.58333337 0.57894737 0.         0.         0.47727275],[0.66666667 0.70967742 0.         0.         0.63636364],0.5297979950904846,0.7505118727684021,0.32791069746017454,0.7074374556541443,0.40254154447702833
109,3,0.004,4,4,4,4,4,4,3,0.1,10,32,0.0,[0.85555559 0.84444445 0.62222224 0.71111113 0.70786518],[0.92283952 0.88952023 0.5        0.82419789 0.78493899],[0.83333331 0.79166669 0.         0.77272731 0.86363637],[0.59999996 0.67857146 0.         0.44736841 0.45238096],[0.69767442 0.73076923 0.         0.56666667 0.59375   ],0.6522727370262146,0.7482397198677063,0.43566415905952455,0.7842993259429931,0.5177720632081098
56,2,0.004,4,5,4,5,4,5,2,0.0,10,16,0.0,[0.81111115 0.73333335 0.62222224 0.80000001 0.76404494],[0.83950621 0.5        0.5        0.8773396  0.78120762],[0.72222221 0.         0.         0.90909094 0.72727275],[0.51999998 0.         0.         0.55555558 0.51612902],[0.60465116 0.         0.         0.68965517 0.60377358],0.4717171788215637,0.7461423397064209,0.31833691596984864,0.699610686302185,0.37961598402203023
55,2,0.007,4,5,4,5,4,5,2,0.1,20,32,0.0,[0.78888893 0.83333337 0.62222224 0.78888893 0.69662923],[0.875      0.89393938 0.5        0.89772725 0.79850745],[0.8888889  1.         0.         0.90909094 1.        ],[0.4848485  0.61538464 0.         0.54054058 0.44897959],[0.62745098 0.76190476 0.         0.6779661  0.61971831],0.7595959663391113,0.7459925413131714,0.41795065999031067,0.7930348157882691,0.5374080307701978
57,2,0.004,4,5,4,5,4,5,2,0.0,10,32,0.0,[0.81111115 0.77777779 0.62222224 0.75555557 0.75280899],[0.81520063 0.86142671 0.5        0.5        0.5       ],[0.72222221 0.66666669 0.         0.         0.        ],[0.51999998 0.5714286  0.         0.         0.        ],[0.60465116 0.61538462 0.         0.         0.        ],0.27777777910232543,0.743895149230957,0.21828571557998658,0.6353254675865173,0.24400715563506256
25,2,0.004,5,5,5,5,5,5,2,0.0,10,32,0.0,[0.80000001 0.80000001 0.6111111  0.75555557 0.75280899],[0.74961412 0.85827023 0.55882353 0.5        0.5       ],[0.55555558 0.91666669 0.29411766 0.         0.        ],[0.5        0.57894737 0.47619048 0.         0.        ],[0.52631579 0.70967742 0.36363636 0.         0.        ],0.3532679855823517,0.7438951373100281,0.3110275685787201,0.6333415746688843,0.31992591449297736
107,3,0.004,4,4,4,4,4,4,3,0.0,20,32,0.0,[0.80000001 0.81111115 0.62222224 0.74444449 0.73033708],[0.5        0.87563139 0.5        0.8148396  0.82089555],[0.         0.83333337 0.         0.86363637 1.        ],[0.         0.60606062 0.         0.48717949 0.47826087],[0.         0.70175439 0.         0.62295082 0.64705882],0.539393949508667,0.7416229963302612,0.31430019736289977,0.7022733092308044,0.3943528058332911
