,num_in_trans,num_out_trans,avg_trans_out,avg_trans_in,sum_trans_in,max_trans_out,max_trans_in,std_trans_in,std_trans_out,min_trans_out,min_trans_in,unique_tpartn_out,unique_tpartn_in,avg_transcost_out,avg_transcost_in,max_transcost_out,std_transcost_out,duration_out,num_in_trans_1neighb,avg_oneNightStands_out,avg_oneNightStands_in,max_tx_out_neighb,max_tx_in_neighb,sum_tx_in_neighb,sum_tx_out_neighb,std_tx_out_neighb,unique_tx_out_neighb,avg_txcost_out_neighb,max_txcost_out_neighb,num_in_transERC,num_out_transERC,ERCunique_tpartn_out,ERCunique_tpartn_in,ERCavg_transcost_out,ERCavg_transcost_in,ERCmax_transcost_out,ERC_nb_tkn_tot,high_pressure_sells,high_pressure_buys,0,1,2,3,4,5,6,7
556,17,74,138.42723848207473,353.6642258297483,6012.291839105721,1029.8175149238657,1092.532795,355.76307025561096,278.34866234058705,60.84470000000001,17.49009136,36,16,3.322506976304378,2.5951298248235295,63.3403013695,9.962604106486213,30099.8,0.0,0.054054054054054064,0.0,173324.01828611435,0.0,0.0,21426.255557180946,49684.635617996544,1.5675675675675675,1.247199720698428,18.628086010375,35,16,11,20,7.778499948493999,6.294942089079652,63.3403013695,36,8,10,-1.6871626,-0.07336616,1.1145687,2.0193908,2.494683,0.6814938,1.8887962,0.85979164
285,2,11,13.522470545454546,224.15000000000003,448.30000000000007,148.747176,314.6,127.91561671664644,44.848961037905255,148.747176,133.70000000000002,8,2,13.215271347006741,4.9978572,55.838868085440005,15.49341264000601,2420.1,1137.4166666666667,0.0,0.0,0.0,2711697.80209876,12828398.11587031,0.0,0.0,0.0,0.0,0.0,8,3,3,6,12.825555399490002,30.218749870167493,17.6083734024,8,1,10,-0.80640155,0.22834250000000003,1.1892011,0.99503535,1.3267002,-1.7234769,0.17181289,-0.9201292999999999
483,4,16,2.9685952482940503,31.2779001028,125.1116004112,20.0283048,107.5473643361,51.2633111088317,6.1503941353598846,0.2065618,2.6046360750999997,14,4,4.489073840465258,2.80988085,13.506133786991999,3.830887307924666,2659.833333333333,0.0,0.0,0.0,46.060773631091784,0.0,0.0,10.863658653080508,16.339392788230242,1.625,7.418174990150554,29.655742772824002,3,3,2,3,5.2357554228,5.740809011609731,7.0149844128,4,5,5,0.39882144,-0.4911351,3.007477,0.044592727,0.3559487,-1.450634,0.67936885,-0.7588335999999999
589,22,125,142.448911528244,299.8494248179296,6596.687345994449,773.1790000000003,903.2319503609,277.944410256132,180.09401168461616,8.0831e-07,2.014,52,17,4.053581239687229,2.930584319727273,69.2324932809,8.667278344846679,2386.8,0.2222222222222222,0.08928571428571429,0.0,260.1958268214267,85059912.60000001,4798301.255555556,361.21827770605853,113.66942194750679,1.2321428571428572,0.7544726264062178,8.09499895491889,111,16,12,93,5.582071928404128,11.537399086122608,29.633729653440003,104,8,10,1.2345701,-1.5783385,1.3976728,0.13816118,0.052799247,-0.8459003,2.7386427,0.21491858
422,2,3,709.3398039502997,1093.53447140684,2187.06894281368,2024.7755912019,2081.6651864711803,1397.4278586414139,1140.3698103739102,103.243820649,105.40375634250002,2,2,2.5777625226333334,1.9676364119999998,5.42494953,2.669742530858688,16583.033333333333,0.0,0.0,0.0,81541.8488579006,0.0,0.0,1689295.2273157598,5179.717627992217,374.0,0.1871150692997177,1.24238566452,5,1,1,4,2.1777264379,3.11477800375,2.1777264379,4,6,8,-0.12136563,0.05990086,2.3358672,-0.17044437,0.5762122,-0.8599074000000001,1.7575886000000003,0.15442455
202,47,252,927.9229650659796,1196.697903406954,56244.801460126844,19145.49,5500.4,1750.0356659657004,2425.7792451469627,5.6578350435,13.469347375999998,68,20,30.07097148851692,2.253969463072365,288.04710002544,41.75828394933486,6121.1,868.8876404494383,0.0410958904109589,0.7894736842105263,8995.665418093578,13492.500331317044,149356.07483481333,6750.98432520385,2948.5219243556317,1.7123287671232876,9.980935333963755,38.713743233555775,101,82,24,33,48.320461693739226,36.02851860153345,160.23730629892,79,8,10,-1.4619316999999998,0.18058826,0.42638084,1.7295781000000003,1.6584775,-0.7946327,0.09880626,-0.76643807
293,12,22,240.38623162951686,347.2845337740451,4167.414405288541,1300.176346773959,1000.8330822060001,337.0705920396503,407.7940254956295,11.015082099999999,21.4599,7,8,5.949159142155205,4.569614179375,22.1670072474125,5.464722332477153,0.08333333333333333,333.625,0.0,0.1,766.4450120121949,3794394.953889715,6485245.033933342,67.58043147932129,503.8096380735991,0.17391304347826084,3.6060430977555007,11.95262017341,12,4,3,5,6.287998240837501,18.03215993722771,11.860316867700002,5,1,0,-1.6144096000000001,-0.07552961,1.4917707,0.19786574,0.8702613000000001,-2.0187263,0.36529459999999997,-1.327952
590,16,60,118.20821840227993,484.07005778620004,7745.120924579201,895.1894500000003,1853.0957987127,498.9825863418487,190.90730576621803,0.1894004,8.5464,42,13,1.4427812611426492,0.5454120556375,20.773272528,3.6666586964943053,26985.98333333333,0.07142857142857142,0.17777777777777778,0.07142857142857142,428.0195711664631,402.9628741666391,28.78306244047421,176.12371973997162,310.21664203195223,0.8444444444444444,0.8745157691580172,2.520381926974079,60,28,11,40,0.6128053683598237,2.359657062629404,5.978241598890159,61,9,10,0.2314429,-1.8669035,0.80304086,-0.90916353,1.8530217,0.044179275999999996,2.3325236,-1.3859488000000002
308,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,7,4,18.345247648028568,269.0429741827533,60.6485012484,4,0,0,0.34054923,0.049790613,2.520184,0.79851484,-0.6823785,-1.717006,1.3285537,-0.60449344
436,10,9,909.3314883309587,902.0432198153217,9020.432198153216,1575.3884363399998,1554.686805,433.877284818328,470.4908940773457,490.63459883117173,12.079893772,2,8,0.3020511655523084,0.134120778104,1.8853055232,0.5950347102774284,22616.0,0.0,0.0,0.0,81541.8488579006,0.0,0.0,1689295.2273157598,5179.717627992217,374.0,0.1871150692997177,1.24238566452,1,1,1,1,1.8853055232,9.64475967,1.8853055232,2,6,3,-0.40206479999999994,0.10976199,1.7803613,-0.18555526,1.1354153999999999,-0.25354299999999996,1.617429,0.15640634
