,hiddenLayerOne,learnRate,hiddenLayerTwo,dropout,epochs,regul,batch,accuracy,AUC,recall,precision,F1,meanAcc,meanRec,meanAUC,meanPrec,meanF1
10,6,0.007,6,0.05,10,0.0,64,[0.84444445 0.82222223 0.76666671 0.80000001 0.77528089],[0.88657409 0.93308079 0.83771008 0.89004016 0.8968792 ],[0.72222221 0.91666669 0.7647059  0.9545455  0.90909094],[0.59090912 0.6111111  0.66666669 0.55263156 0.52631581],[0.65       0.73333333 0.71232877 0.7        0.66666667],0.8017228603363037,0.8534462451934814,0.8888568639755249,0.5895268559455872,0.6924657534246575
11,6,0.007,6,0.05,20,0.0,64,[0.87777781 0.86666667 0.77777779 0.81111115 0.83146065],[0.90547848 0.92361116 0.8405987  0.88168448 0.91451836],[0.77777779 0.91666669 0.7352941  0.9545455  0.9545455 ],[0.66666669 0.6875     0.69444448 0.56756759 0.60000002],[0.71794872 0.78571429 0.71428571 0.71186441 0.73684211],0.8329588174819946,0.8677659153938293,0.8931782364845275,0.6432357549667358,0.7333310459983073
12,6,0.007,6,0.05,10,0.05,32,[0.77777779 0.81111115 0.74444449 0.80000001 0.77528089],[0.86574078 0.87784088 0.82326674 0.86430484 0.89789689],[0.72222221 0.91666669 0.79411763 0.90909094 0.9545455 ],[0.46428573 0.5945946  0.62790698 0.55555558 0.52500004],[0.56521739 0.72131148 0.7012987  0.68965517 0.67741935],0.7817228674888611,0.8593285918235779,0.8658100247383118,0.5534685850143433,0.6709804190530777
13,6,0.007,6,0.05,20,0.05,32,[0.82222223 0.81111115 0.75555557 0.80000001 0.76404494],[0.8912037  0.90340912 0.83823526 0.88703209 0.83751702],[0.66666669 0.875      0.7352941  0.86363637 0.81818187],[0.54545456 0.60000002 0.65789473 0.55882353 0.51428574],[0.6        0.71186441 0.69444444 0.67857143 0.63157895],0.79058678150177,0.7917558073997497,0.8714794397354126,0.5752917170524597,0.6632918454327911
14,6,0.007,6,0.05,10,0.05,64,[0.83333337 0.81111115 0.82222223 0.78888893 0.74157304],[0.89120376 0.90372479 0.87447476 0.88536096 0.85786974],[0.83333331 0.95833337 0.94117647 0.9545455  0.90909094],[0.55555558 0.58974361 0.69565219 0.53846157 0.48780489],[0.66666667 0.73015873 0.8        0.68852459 0.63492063],0.799425745010376,0.9192959189414978,0.8825268030166626,0.5734435677528381,0.7040541243819931
15,6,0.007,6,0.05,20,0.05,64,[0.80000001 0.83333337 0.78888893 0.85555559 0.73033708],[0.88194448 0.90404046 0.83744752 0.90240639 0.84769332],[0.72222221 0.95833337 0.82352942 0.86363637 0.81818187],[0.5        0.62162161 0.68292683 0.65517241 0.47368422],[0.59090909 0.75409836 0.74666667 0.74509804 0.6       ],0.801622998714447,0.8371806502342224,0.8747064352035523,0.5866810142993927,0.6873544314894363
16,6,0.004,6,0.0,10,0.0,32,[0.85555559 0.82222223 0.76666671 0.78888893 0.77528089],[0.90354943 0.92013896 0.85031509 0.90340906 0.88839895],[0.72222221 0.91666669 0.82352942 0.81818187 0.81818187],[0.61904764 0.6111111  0.6511628  0.54545456 0.52941179],[0.66666667 0.73333333 0.72727273 0.65454545 0.64285714],0.8017228722572327,0.8197564125061035,0.8931622982025147,0.5912375807762146,0.6849350649350648
17,6,0.004,6,0.0,20,0.0,32,[0.84444445 0.84444445 0.76666671 0.80000001 0.73033708],[0.88618827 0.90025252 0.81197476 0.87600267 0.8578698 ],[0.55555558 0.875      0.70588237 0.77272731 0.77272731],[0.625      0.65625    0.6857143  0.56666672 0.47222224],[0.58823529 0.75       0.69565217 0.65384615 0.5862069 ],0.7971785426139831,0.7363785147666931,0.8664576053619385,0.6011706531047821,0.6547881036857137
18,6,0.004,6,0.0,10,0.0,64,[0.80000001 0.85555559 0.75555557 0.78888893 0.73033708],[0.81172842 0.93907833 0.81433827 0.86965239 0.87516958],[0.66666669 0.91666669 0.82352942 0.9545455  0.86363637],[0.5        0.66666669 0.63636363 0.53846157 0.47499999],[0.57142857 0.77192982 0.71794872 0.68852459 0.61290323],0.7860674381256103,0.845008933544159,0.8619933962821961,0.563298374414444,0.6725469859818157
19,6,0.004,6,0.0,20,0.0,64,[0.85555559 0.83333337 0.76666671 0.81111115 0.75280899],[0.90239203 0.93402779 0.85976887 0.90240645 0.92265946],[0.66666669 0.91666669 0.70588237 0.9545455  0.90909094],[0.63157892 0.62857145 0.6857143  0.56756759 0.5       ],[0.64864865 0.74576271 0.69565217 0.71186441 0.64516129],0.8038951635360718,0.8305704355239868,0.9042509198188782,0.6026864528656006,0.689417846305668
20,6,0.004,6,0.0,10,0.05,32,[0.76666671 0.80000001 0.74444449 0.82222223 0.76404494],[0.83796293 0.9084596  0.85320377 0.89171124 0.88127548],[0.77777779 0.91666669 0.70588237 0.90909094 0.90909094],[0.45161289 0.57894737 0.64864868 0.58823532 0.51282054],[0.57142857 0.70967742 0.67605634 0.71428571 0.6557377 ],0.7794756770133973,0.8437017440795899,0.874522602558136,0.5560529589653015,0.6654371496030652
21,6,0.004,6,0.0,20,0.05,32,[0.83333337 0.78888893 0.75555557 0.82222223 0.73033708],[0.91782403 0.85921717 0.79227942 0.91911763 0.84464049],[0.66666669 0.79166669 0.64705884 0.90909094 0.90909094],[0.5714286  0.57575762 0.6875     0.58823532 0.47619048],[0.61538462 0.66666667 0.66666667 0.71428571 0.625     ],0.7860674381256103,0.7847148180007935,0.8666157484054565,0.5798224031925201,0.6576007326007326
22,6,0.004,6,0.0,10,0.05,64,[0.76666671 0.83333337 0.75555557 0.84444445 0.73033708],[0.83256173 0.905303   0.83613449 0.91310161 0.81852108],[0.6111111  0.91666669 0.79411763 0.9545455  0.90909094],[0.44       0.62857145 0.64285713 0.61764705 0.47619048],[0.51162791 0.74576271 0.71052632 0.75       0.625     ],0.7860674381256103,0.8371063709259033,0.8611243844032288,0.5610532224178314,0.668583386926125
